institution_id,institution_name,project_id,project_name,local_id,partner_id,partner_name
3514,U.S. National Archives and Records Administration,18367,"Non-population Census Schedules for Washington Territory, 1860-1880.",A1154,27651,Ancestry.com
3514,U.S. National Archives and Records Administration,24808,"Register of Citizen Arrivals (1943-1947) and Alien Arrivals (1936-1949) by Aircraft at San Francisco, California.",A3361,27651,Ancestry.com
